Name,Total,Total_Funds
ALABAMA,3,3000000000
ALASKA,3.7,3700000000
AMERICAN SAMOA,0.0686,68600000
ARIZONA,3.5,3500000000
ARKANSAS,2.8,2800000000
CALIFORNIA,18.4,18400000000
COLORADO,3.2,3200000000
CONNECTICUT,2.5,2500000000
DELEWARE,0.792,792000000
DISTRICT OF COLUMBIA,1.1,1100000000
FLORIDA,8.2,8200000000
GEORGIA,5,5000000000
GUAM,0.1426,142600000
HAWAII,1,1000000000
IDAHO,1.2,1200000000
ILLINOIS,8.4,8400000000
INDIANA,3.4,3400000000
IOWA,2.4,2400000000
KANSAS,1.5,1500000000
KENTUCKY,3.9,3900000000
LOUISIANA,4.3,4300000000
MAINE,1.1,1100000000
MARYLAND,2.7,2700000000
MASSACHUSETTS,3.6,3600000000
MICHIGAN,5.2,5200000000
MINNESOTA,2.7,2700000000
MISSISSIPPI,2.3,2300000000
MISSOURI,3.8,3800000000
MONTANA,3.3,3300000000
NEBRASKA,1.3,1300000000
NEVADA,1.7,1700000000
NEW HAMPSHIRE,0.7518,751800000
NEW JERSEY,5.1,5100000000
NEW MEXICO,2.6,2600000000
NEW YORK,10.1,10100000000
NORTH CAROLINA,4.5,4500000000
NORTH DAKOTA,1.8,1800000000
NORTHERN MARIANA ISLANDS,0.0833,83300000
OHIO,6.6,6600000000
OKLAHOMA,2.9,2900000000
OREGON,2.3,2300000000
PENNSYLVANIA,8.1,8100000000
PUERTO RICO,0.9937,993700000
RHODE ISLAND,1.1,1100000000
SOUTH CAROLINA,2.3,2300000000
SOUTH DAKOTA,1.3,1300000000
TENNESSEE,3.7,3700000000
TEXAS,14.2,14200000000
TRIBAL COMMUNITIES,3,3000000000
US VIRGIN ISLANDS,0.1483,148300000
UTAH,1.8,1800000000
VERMONT,0.8521,852100000
VIRGINIA,4.5,4500000000
WASHINGTON,4,4000000000
WEST VIRGINIA,2,2000000000
WISCONSIN,2.8,2800000000
WYOMING,2.3,2300000000
