Source,Import_Share_Order,Commodity,Net_Import_Reliance_pct_2023,Major_Import_Sources_2019_2022,Notes
MCS2024,1,"ARSENIC, all forms",100,"China, Morocco, Malaysia, Belgium",Descending order of import share. Imports from Hong Kong are included with China
MCS2024,2,ASBESTOS,100,"Brazil, Russia",Descending order of import share. 
MCS2024,3,CESIUM,100,Germany,Descending order of import share. 
MCS2024,4,FLUORSPAR,100,"Mexico, Vietnam, China, South Africa",Descending order of import share. 
MCS2024,5,GALLIUM,100,"Japan, China, Germany, Canada",Descending order of import share. 
MCS2024,6,GRAPHITE (NATURAL),100,"China, Mexico, Canada, Madagascar",Descending order of import share. Imports from Hong Kong are included with China
MCS2024,7,INDIUM,100,"Republic of Korea, Canada, Belgium",Descending order of import share. 
MCS2024,8,MANGANESE,100,"Gabon, South Africa, Australia, Georgia",Descending order of import share. 
MCS2024,9,"MICA (NATURAL), sheet",100,"China, Brazil, India, Belgium",Descending order of import share. 
MCS2024,10,NIOBIUM (COLUMBIUM),100,"Brazil, Canada",Descending order of import share. 
MCS2024,11,RUBIDIUM,100,"China, Germany, Russia",Descending order of import share. 
MCS2024,12,SCANDIUM,100,"Japan, China, Germany, Philippines",Descending order of import share. 
MCS2024,13,STRONTIUM,100,"Mexico, Germany, China",Descending order of import share. 
MCS2024,14,TANTALUM,100,"China, Germany, Australia, Indonesia",Descending order of import share. Imports from Hong Kong are included with China
MCS2024,15,YTTRIUM,100,"China, Germany, France, Republic of Korea",Descending order of import share. Imports from Hong Kong are included with China
MCS2024,16,GEMSTONES,99,"India, Israel, Belgium, South Africa",Descending order of import share. 
MCS2024,17,"ABRASIVES, fused aluminum oxide",>95,"China, Canada, Brazil, Austria",Descending order of import share. Imports from Hong Kong are included with China
MCS2024,18,NEPHELINE SYENITE,>95,Canada,Descending order of import share. 
MCS2024,19,"RARE EARTHS, compounds and metals",>95,"China, Malaysia, Japan, Estonia","Descending order of import share. Imports from Hong Kong are included with China. The rare earths category includes the lanthanides cerium, dysprosium, erbium, europium, gadolinium, holmium, lanthanum, lutetium, neodymium, praseodymium, samarium, terbium, thulium, and ytterbium. "
MCS2024,20,"TITANIUM, sponge metal",>95,"Japan, Kazakhstan, Saudi Arabia, Ukraine",Descending order of import share. 
MCS2024,21,BISMUTH,94,"China, Republic of Korea, Belgium, Mexico",Descending order of import share. Imports from Hong Kong are included with China
MCS2024,22,POTASH,91,"Canada, Russia, Belarus",Descending order of import share. 
MCS2024,23,STONE (DIMENSION),87,"Brazil, China, Italy, Turkey",Descending order of import share. Imports from Hong Kong are included with China
MCS2024,24,"DIAMOND (INDUSTRIAL), stones",84,"India, South Africa, Russia, Congo (Kinshasa)",Descending order of import share. 
