Country,Commodity_Count,Map_Class
Australia,6,4 to 6
Austria,2,1 to 3
Belarus,1,1 to 3
Belgium,8,7 to 12
Bolivia,3,1 to 3
Brazil,10,7 to 12
Canada,23,19 to 24
Chile,2,1 to 3
China,24,19 to 24
Democratic Republic of the Congo,1,1 to 3
Estonia,1,1 to 3
Finland,2,1 to 3
France,1,1 to 3
Gabon,1,1 to 3
Georgia,1,1 to 3
Germany,12,7 to 12
Guyana,1,1 to 3
India,6,4 to 6
Indonesia,2,1 to 3
Ireland,1,1 to 3
Israel,3,1 to 3
Italy,1,1 to 3
Jamaica,2,1 to 3
Japan,6,4 to 6
Kazakhstan,3,1 to 3
Madagascar,2,1 to 3
Malaysia,3,1 to 3
Mexico,8,7 to 12
Morocco,2,1 to 3
Netherlands,1,1 to 3
Norway,2,1 to 3
Peru,2,1 to 3
Philippines,2,1 to 3
Poland,1,1 to 3
Russia,8,7 to 12
Saudi Arabia,1,1 to 3
South Africa,8,7 to 12
South Korea,5,4 to 6
Switzerland,2,1 to 3
Taiwan,1,1 to 3
Turkey,2,1 to 3
Ukraine,1,1 to 3
Vietnam,2,1 to 3
